Titulo;Categoria;Empresa;Habilidades;Link;Local;Salario;Nivel;Regime
Desenvolvedor Back-End Python;CLT;CodeBridge;Python, Django, PostgreSQL;https://codebridge.jobs/backend;São Paulo, SP;R$ 6.500;Pleno;Híbrido
Enfermeiro Plantonista;CLT;Hospital Vida;Enfermagem, Rotinas Hospitalares, Atendimento;https://hospitalvida.jobs/enfermeiro;Fortaleza, CE;R$ 3.800;Pleno;Presencial
Analista de Marketing Digital;CLT;AgroMarket;Google Ads, SEO, Social Media;https://agromarket.jobs/marketing;Curitiba, PR;R$ 5.000;Pleno;Remoto
Gerente de Loja;CLT;MegaStore;Gestão de Equipe, Vendas, Estoque;https://megastore.jobs/gerente;Rio de Janeiro, RJ;R$ 6.800;Pleno;Presencial
Professor de Matemática;CLT;Colégio SaberMais;Didática, Matemática, Aulas Online;https://sabermais.jobs/matematica;São Paulo, SP;R$ 4.200;Pleno;Presencial
Designer UX/UI;CLT;DesignLab;Figma, User Research, Prototipagem;https://designlab.jobs/ux;Belo Horizonte, MG;R$ 6.000;Pleno;Híbrido

Estagiário de Dados;Estágio;InfoLab;Python, SQL, Estatística;https://infolab.jobs/estagio-dados;São Paulo, SP;Bolsa R$ 1.300;Júnior;Remoto
Estagiário de Nutrição;Estágio;Clínica BemViver;Atendimento, Planos Alimentares, Laudos;https://bemviver.jobs/nutricao;Recife, PE;Bolsa R$ 1.000;Júnior;Presencial
Estagiário em Engenharia Civil;Estágio;Construtora Alfa;AutoCAD, Excel, Apoio em Obras;https://construtoraalfa.jobs/civil;Belo Horizonte, MG;Bolsa R$ 1.400;Júnior;Presencial
Estagiário de Comunicação;Estágio;Agência Criativa;Redação, Canva, Redes Sociais;https://agenciacriativa.jobs/comunicacao;Rio de Janeiro, RJ;Bolsa R$ 1.100;Júnior;Híbrido
Estagiário de RP (Relações Públicas);Estágio;Mídia360;Planejamento, Publicidade, Eventos;https://midia360.jobs/rp-estagio;São Paulo, SP;Bolsa R$ 1.200;Júnior;Remoto
Estagiário de Suporte em TI;Estágio;TechSupport;Windows, Linux, Atendimento;https://techsupport.jobs/ti-estagio;Fortaleza, CE;Bolsa R$ 1.250;Júnior;Presencial

Jovem Aprendiz Administrativo;Jovem Aprendiz;OfficeTalent;Excel, Organização, Apoio Administrativo;https://officetalent.jobs/aprendiz;Brasília, DF;Bolsa R$ 900;Júnior;Presencial
Jovem Aprendiz em Suporte TI;Jovem Aprendiz;HelpJunior;Pacote Office, Atendimento ao Usuário;https://helpjunior.jobs/aprendiz-ti;São Paulo, SP;Bolsa R$ 950;Júnior;Presencial
Jovem Aprendiz em Atendimento;Jovem Aprendiz;CallNow;Comunicação, Atendimento Telefônico;https://callnow.jobs/aprendiz;Fortaleza, CE;Bolsa R$ 850;Júnior;Presencial
Jovem Aprendiz Vendas;Jovem Aprendiz;MarketMais;Atendimento, Organização, Caixa;https://marketmais.jobs/aprendiz-vendas;Porto Alegre, RS;Bolsa R$ 880;Júnior;Híbrido

Engenheiro de Dados;PJ;DataWave;Hadoop, Spark, Kafka;https://datawave.jobs/engineer;Remoto;R$ 14.000;Sênior;Remoto
Consultor ERP;PJ;BizSolutions;SAP, Gestão de Processos;https://bizsolutions.jobs/erp;São Paulo, SP;R$ 12.000;Sênior;Remoto
Especialista em Segurança da Informação;PJ;CyberShield;Pentest, SIEM, Firewalls;https://cybershield.jobs/security;Remoto;R$ 16.000;Sênior;Remoto
Instrutor Corporativo de Treinamentos;PJ;SkillPro;Capacitação, Apresentações, EAD;https://skillpro.jobs/instrutor;Rio de Janeiro, RJ;R$ 8.500;Pleno;Remoto
Desenvolvedor Back-End Python;CLT;CodeBridge;Python, Django, PostgreSQL;https://codebridge.jobs/backend;São Paulo, SP;R$ 6.500;Pleno;Híbrido
Analista de Marketing Digital;CLT;AgroMarket;Google Ads, SEO, Analytics;https://agromarket.jobs/marketing;Curitiba, PR;R$ 5.000;Pleno;Remoto
Enfermeiro Plantonista;CLT;Hospital Vida;Enfermagem, Curativos, Rotinas Hospitalares;https://hospitalvida.jobs/enfermeiro;Fortaleza, CE;R$ 3.800;Pleno;Presencial
Gerente de Loja;CLT;MegaStore;Gestão de Pessoas, Vendas, Estoque;https://megastore.jobs/gerente;Rio de Janeiro, RJ;R$ 6.800;Pleno;Presencial
Professor de Matemática;CLT;Colégio SaberMais;Matemática, Didática, Ensino Online;https://sabermais.jobs/matematica;São Paulo, SP;R$ 4.200;Pleno;Presencial
Analista de Redes;CLT;NetConnect;Cisco, Firewalls, Linux;https://netconnect.jobs/redes;Brasília, DF;R$ 6.200;Pleno;Presencial
Nutricionista Clínico;CLT;Clínica BemViver;Dietas, Prescrição Alimentar, Atendimento;https://bemviver.jobs/nutricao;Recife, PE;R$ 4.200;Pleno;Presencial
Engenheiro Civil;CLT;Construtora Alfa;AutoCAD, Obras, Planejamento;https://construtoraalfa.jobs/civil;Belo Horizonte, MG;R$ 9.000;Sênior;Híbrido
